name,id,class,platforms,permissions
Proc Filesystem,attack-pattern--3120b9fa-23b8-4500-ae73-09494f607b7d,VMR,Linux,
Botnet,attack-pattern--31225cd3-cd46-4575-b287-c2c14011c074,VMR,PRE,
Password Managers,attack-pattern--315f51f0-6b03-4c1e-bfb2-84740afb8e21,VMR,Linux;macOS;Windows,
Gatekeeper Bypass,attack-pattern--31a0a2ac-c67c-4a7e-b9ed-6a96477d4e8e,VMR,macOS,
ESXi Administration Command,attack-pattern--31e5011f-090e-45be-9bb6-17a1c5e8219b,VMR,ESXi,
Drive-by Target,attack-pattern--31fe0ba2-62fd-4fd9-9293-4043d84f7fe9,VMR,PRE,
System Service Discovery,attack-pattern--322bad5a-1c49-4d23-ab79-76d641794afa,VMR,Linux;macOS;Windows,
Code Signing,attack-pattern--32901740-b42c-4fdd-bc02-345b5dc57082,VMR,macOS;Windows,
Runtime Data Manipulation,attack-pattern--32ad5c86-2bcf-47d8-8fdc-d7f3d79a7490,VMR,Linux;macOS;Windows,
Credentials in Registry,attack-pattern--341e222a-a6e3-4f6f-b69c-831d792b1580,VMR,Windows,
Network Share Discovery,attack-pattern--3489cfc5-640f-4bb3-a103-9137b97de79f,VMR,Linux;macOS;Windows,
Peripheral Device Discovery,attack-pattern--348f1eef-964b-4eb6-bb53-69b3dcb0c643,VMR,Linux;Windows;macOS,
Break Process Trees,attack-pattern--34a80bc4-80f2-46e6-94ff-f3265a4b657c,VMR,Linux;macOS,
Network Topology,attack-pattern--34ab90a3-05f6-4259-8f21-621081fdaba5,VMR,PRE,
Code Signing Certificates,attack-pattern--34b3f738-bd64-40e5-a112-29b0542bc8bf,VMR,PRE,
Windows File and Directory Permissions Modification,attack-pattern--34e793de-0274-4982-9c1a-246ed1c19dee,VMR,Windows,
Add-ins,attack-pattern--34f1d81d-fe88-4f97-bd3b-a3164536255d,VMR,Windows;Office Suite,
Transport Agent,attack-pattern--35187df2-31ed-43b6-a1f5-2f1d3d58d3f1,VMR,Linux;Windows,
Application Layer Protocol,attack-pattern--355be19c-ffc9-46d5-8d50-d6a036c675b6,VMR,Linux;macOS;Windows;Network Devices;ESXi,
AppDomainManager,attack-pattern--356662f7-e315-4759-86c9-6214e2a50ff8,VMR,Windows,
Scheduled Task/Job,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9,VMR,Windows;Linux;macOS;Containers;ESXi,
Msiexec,attack-pattern--365be77f-fc0e-42ee-bac8-4faf806d9336,VMR,Windows,
Network Trust Dependencies,attack-pattern--36aa137f-5166-41f8-b2f0-a4cfa1b4133e,VMR,PRE,
Password Filter DLL,attack-pattern--3731fbcd-0e43-47ae-ae6c-d15e510f0d42,VMR,Windows,
Terminal Services DLL,attack-pattern--379809f6-2fac-42c1-bd2e-e9dee70b27f8,VMR,Windows,
AppleScript,attack-pattern--37b11151-1776-4f8f-b328-30939fbf2ceb,VMR,macOS,
Software Extensions,attack-pattern--389735f1-f21c-4208-b8f0-f8031e7169b8,VMR,Linux;macOS;Windows,
Compromise Hardware Supply Chain,attack-pattern--39131305-9282-45e4-ac3b-591d2d4fc3ef,VMR,Linux;macOS;Windows,
Native API,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670,VMR,Linux;macOS;Windows,
Ccache Files,attack-pattern--394220d9-8efc-4252-9040-664f7b115be6,VMR,Linux;macOS,
Clear Network Connection History and Configurations,attack-pattern--3975dbb5-0e1e-4f5b-bae1-cf2ab84b46dc,VMR,Linux;macOS;Windows;Network Devices,
AS-REP Roasting,attack-pattern--3986e7fd-a8e9-4ecb-bfc6-55920855912b,VMR,Windows,
Virtual Private Server,attack-pattern--39cc9f64-cf74-4a48-a4d8-fe98c54a02e0,VMR,PRE,
AutoHotKey & AutoIT,attack-pattern--3a32740a-11b0-4bcf-b0a9-3abd0f6d3cd5,VMR,Windows,
Reduce Key Space,attack-pattern--3a40f208-a9c1-4efa-a598-4003c3681fb8,VMR,Network Devices,
Clear Command History,attack-pattern--3aef9463-9a7a-43ba-8957-a867e07c1e6a,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Indirect Command Execution,attack-pattern--3b0e52ce-517a-4614-a523-1bd5deef6c5e,VMR,Windows,
Data from Local System,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Deobfuscate/Decode Files or Information,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,VMR,ESXi;Linux;macOS;Windows,
