replicate,confusion_pct,unique_pct
2060,8.7209,90.1163
2061,8.7209,90.1163
2062,8.7209,90.1163
2063,8.7209,90.1163
2064,8.7209,90.1163
2065,8.7209,90.1163
2066,8.7209,90.1163
2067,8.7209,90.1163
2068,8.7209,90.1163
2069,8.7209,90.1163
2070,8.7209,90.1163
2071,8.7209,90.1163
2072,8.7209,90.1163
2073,8.7209,90.1163
2074,8.7209,90.1163
2075,8.7209,90.1163
2076,8.7209,90.1163
2077,8.7209,90.1163
2078,8.7209,90.1163
2079,8.7209,90.1163
2080,8.7209,90.1163
2081,8.7209,90.1163
2082,8.7209,90.1163
2083,8.7209,90.1163
2084,8.7209,90.1163
2085,8.7209,90.1163
2086,8.7209,90.1163
2087,8.7209,90.1163
2088,8.7209,90.1163
2089,8.7209,90.1163
2090,8.7209,90.1163
2091,8.7209,90.1163
2092,8.7209,90.1163
2093,8.7209,90.1163
2094,8.7209,90.1163
2095,8.7209,90.1163
2096,8.7209,90.1163
2097,8.7209,90.1163
2098,8.7209,90.1163
2099,8.7209,90.1163
2100,8.7209,90.1163
2101,8.7209,90.1163
2102,8.7209,90.1163
2103,8.7209,90.1163
2104,8.7209,90.1163
2105,8.7209,90.1163
2106,8.7209,90.1163
2107,8.7209,90.1163
2108,8.7209,90.1163
2109,8.7209,90.1163
2110,8.7209,90.1163
2111,8.7209,90.1163
2112,8.7209,90.1163
2113,8.7209,90.1163
2114,8.7209,90.1163
2115,8.7209,90.1163
2116,8.7209,90.1163
2117,8.7209,90.1163
2118,8.7209,90.1163
2119,8.7209,90.1163
2120,8.7209,90.1163
2121,8.7209,90.1163
2122,8.7209,90.1163
2123,8.7209,90.1163
2124,8.7209,90.1163
2125,8.7209,90.1163
2126,8.7209,90.1163
2127,8.7209,90.1163
2128,8.7209,90.1163
2129,8.7209,90.1163
2130,8.7209,90.1163
2131,8.7209,90.1163
2132,8.7209,90.1163
2133,8.7209,90.1163
2134,8.7209,90.1163
2135,8.7209,90.1163
2136,8.7209,90.1163
2137,8.7209,90.1163
2138,8.7209,90.1163
2139,8.7209,90.1163
2140,8.7209,90.1163
2141,8.7209,90.1163
2142,8.7209,90.1163
2143,8.7209,90.1163
2144,8.7209,90.1163
2145,8.7209,90.1163
2146,8.7209,90.1163
2147,8.7209,90.1163
2148,8.7209,90.1163
2149,8.7209,90.1163
2150,8.7209,90.1163
2151,8.7209,90.1163
2152,8.7209,90.1163
2153,8.7209,90.1163
2154,8.7209,90.1163
2155,8.7209,90.1163
2156,8.7209,90.1163
2157,8.7209,90.1163
2158,8.7209,90.1163
2159,8.7209,90.1163
2160,8.7209,90.1163
2161,8.7209,90.1163
2162,8.7209,90.1163
2163,8.7209,90.1163
2164,8.7209,90.1163
2165,8.7209,90.1163
2166,8.7209,90.6977
2167,8.7209,90.6977
2168,8.7209,90.6977
2169,8.7209,90.6977
2170,8.7209,90.6977
2171,8.7209,90.6977
2172,8.7209,90.6977
2173,8.7209,90.6977
2174,8.7209,90.6977
2175,8.7209,90.6977
2176,8.7209,90.6977
2177,8.7209,90.6977
2178,8.7209,90.6977
2179,8.7209,90.6977
2180,8.7209,90.6977
2181,8.7209,90.6977
2182,8.7209,90.6977
2183,8.7209,90.6977
2184,8.7209,90.6977
2185,8.7209,90.6977
2186,8.7209,90.6977
2187,8.7209,90.6977
2188,8.7209,90.6977
2189,8.7209,90.6977
2190,8.7209,90.6977
2191,8.7209,90.6977
2192,8.7209,90.6977
2193,8.7209,90.6977
2194,8.7209,90.6977
2195,8.7209,90.6977
2196,8.7209,90.6977
2197,8.7209,90.6977
2198,8.7209,90.6977
2199,8.7209,90.6977
2200,8.7209,90.6977
2201,8.7209,90.6977
2202,8.7209,90.6977
2203,8.7209,90.6977
2204,8.7209,90.6977
2205,8.7209,90.6977
2206,8.7209,90.6977
2207,8.7209,90.6977
2208,8.7209,90.6977
2209,8.7209,90.6977
2210,8.7209,90.6977
2211,8.7209,90.6977
2212,8.7209,90.6977
2213,8.7209,90.6977
2214,8.7209,90.6977
2215,8.7209,90.6977
2216,8.7209,90.6977
2217,8.7209,90.6977
2218,8.7209,90.6977
2219,8.7209,90.6977
2220,8.7209,90.6977
2221,8.7209,90.6977
2222,8.7209,90.6977
2223,8.7209,90.6977
2224,8.7209,90.6977
2225,8.7209,90.6977
2226,8.7209,90.6977
2227,8.7209,90.6977
2228,8.7209,90.6977
2229,8.7209,90.6977
2230,8.7209,90.6977
2231,8.7209,90.6977
2232,8.7209,90.6977
2233,8.7209,90.6977
2234,8.7209,90.6977
2235,8.7209,90.6977
2236,8.7209,90.6977
2237,8.7209,90.6977
2238,8.7209,90.6977
2239,8.7209,90.6977
2240,8.7209,90.6977
2241,8.7209,90.6977
2242,8.7209,90.6977
2243,8.7209,90.6977
2244,8.7209,90.6977
2245,8.7209,90.6977
2246,8.7209,90.6977
2247,8.7209,90.6977
2248,8.7209,90.6977
2249,8.7209,90.6977
2250,8.7209,90.6977
2251,8.7209,90.6977
2252,8.7209,90.6977
2253,8.7209,90.6977
2254,8.7209,90.6977
2255,8.7209,90.6977
2256,8.7209,90.6977
2257,8.7209,90.6977
2258,8.7209,90.6977
2259,8.7209,90.6977
2260,8.7209,90.6977
2261,8.7209,90.6977
2262,8.7209,90.6977
2263,8.7209,90.6977
2264,8.7209,90.6977
2265,8.7209,90.6977
2266,8.7209,90.6977
2267,8.7209,90.6977
2268,8.7209,90.6977
2269,8.7209,90.6977
2270,8.7209,90.6977
2271,8.7209,90.6977
2272,8.7209,90.6977
2273,8.7209,90.6977
2274,8.7209,90.6977
2275,8.7209,90.6977
2276,8.7209,90.6977
2277,9.3023,90.6977
2278,9.3023,90.6977
2279,9.3023,90.6977
2280,9.3023,90.6977
2281,9.3023,90.6977
2282,9.3023,90.6977
2283,9.3023,90.6977
2284,9.3023,90.6977
2285,9.3023,90.6977
2286,9.3023,90.6977
2287,9.3023,90.6977
2288,9.3023,90.6977
2289,9.3023,90.6977
2290,9.3023,90.6977
2291,9.3023,90.6977
2292,9.3023,90.6977
2293,9.3023,90.6977
2294,9.3023,90.6977
2295,9.3023,90.6977
2296,9.3023,90.6977
2297,9.3023,90.6977
2298,9.3023,90.6977
2299,9.3023,90.6977
2300,9.3023,90.6977
2301,9.3023,90.6977
2302,9.3023,90.6977
2303,9.3023,90.6977
2304,9.3023,90.6977
2305,9.3023,90.6977
2306,9.3023,90.6977
2307,9.3023,90.6977
2308,9.3023,90.6977
2309,9.3023,90.6977
2310,9.3023,90.6977
2311,9.3023,90.6977
2312,9.3023,90.6977
2313,9.3023,90.6977
2314,9.3023,90.6977
2315,9.3023,90.6977
2316,9.3023,90.6977
2317,9.3023,90.6977
2318,9.3023,90.6977
2319,9.3023,90.6977
2320,9.3023,90.6977
2321,9.3023,90.6977
2322,9.3023,90.6977
2323,9.3023,90.6977
2324,9.3023,90.6977
2325,9.3023,90.6977
2326,9.3023,90.6977
2327,9.3023,90.6977
2328,9.3023,90.6977
2329,9.3023,90.6977
2330,9.3023,90.6977
2331,9.3023,90.6977
2332,9.3023,90.6977
2333,9.3023,90.6977
2334,9.3023,90.6977
2335,9.3023,90.6977
2336,9.3023,90.6977
2337,9.3023,90.6977
2338,9.3023,90.6977
2339,9.3023,90.6977
2340,9.3023,90.6977
2341,9.3023,90.6977
2342,9.3023,90.6977
2343,9.3023,90.6977
2344,9.3023,90.6977
2345,9.3023,90.6977
2346,9.3023,90.6977
2347,9.3023,90.6977
2348,9.3023,90.6977
2349,9.3023,90.6977
2350,9.3023,90.6977
2351,9.3023,90.6977
2352,9.3023,90.6977
2353,9.3023,90.6977
2354,9.3023,90.6977
2355,9.3023,90.6977
